PRODUCTO;ID;PRECIO;ESPECIFICACIONES;IMAGEN
Televisor QLED 50 pulgadas 4K;AUV-TVQ-003;2900000;Tecnología Quantum Dot, Volumen de color 100%, Smart TV, Múltiples HDMI;
Barra de Sonido con Subwoofer;AUV-BAR-001;950000;2.1 Canales, Subwoofer inalámbrico, Bluetooth, HDMI ARC, Óptica;
Home Theater 5.1 Canales;AUV-HOM-002;1800000;Receptor A/V, 5 parlantes satelitales, 1 subwoofer, Dolby Digital/DTS;
Parlante Bluetooth Portátil;AUV-PBT-003;300000;Resistente al agua (IPX7), Autonomía 12+ horas, Sonido potente;
Proyector Full HD;AUV-PROY-001;1600000;Resolución 1920x1080p nativa, 3000+ Lúmenes, HDMI, USB, Para cine en casa;
Cámara DSLR (Kit básico);AUV-CAMD-001;2500000;Sensor APS-C, Lente 18-55mm incluido, Grabación Full HD;
Cámara Mirrorless (Cuerpo solo);AUV-CAMM-002;3800000;Sensor Full Frame o APS-C avanzado, Montura intercambiable, Grabación 4K;
Cámara de Acción;AUV-CAMA-003;1400000;Grabación 4K/60fps, Estabilización de imagen avanzada, Sumergible sin carcasa;
Cámara de Seguridad IP Wi-Fi;AUV-CAMS-004;180000;1080p, Visión nocturna, Detección de movimiento, Audio bidireccional, App móvil;
Google Chromecast con Google TV;AUV-STRC-001;280000;Streaming 4K HDR, Control por voz con Asistente de Google, Interfaz Google TV;
Apple TV 4K;AUV-STRA-002;900000;Chip A15 Bionic, tvOS, Compatible con Dolby Vision/Atmos, Siri Remote;
Roku Streaming Stick 4K;AUV-STRR-003;250000;Streaming 4K HDR, Dolby Vision, Wi-Fi de largo alcance, Control remoto por voz;
PlayStation 5;GAM-CONP-001;3200000;Unidad de disco Blu-ray, SSD ultrarrápido, Control DualSense, Juegos 4K/120fps;
Xbox Series X;GAM-CONX-002;3100000;1TB SSD NVMe, Juegos 4K/120fps, Quick Resume, Xbox Game Pass;
Nintendo Switch OLED;GAM-CONN-003;1800000;Pantalla OLED 7 pulgadas, 64GB almacenamiento, Joy-Con, Modo TV/Portátil/Tabletop;
Videojuego Físico (Lanzamiento AAA);GAM-VIDF-001;280000;Para PS5/Xbox Series X/Nintendo Switch, Último lanzamiento popular;
Videojuego Digital (Indie popular);GAM-VIDD-002;80000;Código de descarga para Steam/Consola, Juego independiente aclamado;
Control Adicional PS5 DualSense;GAM-ACCPS-001;320000;Respuesta háptica, Gatillos adaptativos, Micrófono integrado, Color blanco/otros;
Control Adicional Xbox Series;GAM-ACCXB-002;290000;Diseño ergonómico, Botón de compartir, Compatible con Xbox One/PC/Móvil;
Volante y Pedales (Gama media);GAM-ACCNS-003;900000;Force Feedback, Compatible con PC/Consolas, Pedales de acelerador, freno y embrague;
Gafas VR para Consola;GAM-ACCVR-004;3000000;Ej: PlayStation VR2, Pantallas OLED, Seguimiento ocular, Controles Sense;
Silla Gaming Ergonómica;GAM-SIL-001;850000;Respaldo alto, Cojines lumbar y cervical, Reposabrazos ajustables, Material cuero sintético;
Figura Coleccionable;GAM-MER-001;150000;Personaje popular de videojuego/anime, Material PVC/ABS, Altura aprox. 20cm;
Google Nest Mini;HOG-ASG-001;160000;Asistente de voz Google Assistant, Control de dispositivos inteligentes, Reproducción de música;
Amazon Echo Dot;HOG-ASA-002;170000;Asistente de voz Alexa, Control de hogar digital, Skills de Alexa, Sonido mejorado;
Bombillo Inteligente RGB Wi-Fi;HOG-ILUB-001;70000;E27, 9W, Millones de colores, Control por app y voz, Programable;
Tira LED Inteligente;HOG-ILUT-002;120000;5 metros, RGB, Wi-Fi, Control por app y voz, Sincronización con música;
Enchufe Inteligente Wi-Fi;HOG-ENC-001;55000;Control remoto de electrodomésticos, Programación de horarios, Compatible con Alexa/Google Home;
Interruptor de Luz Inteligente;HOG-INT-002;90000;1, 2 o 3 gangs, Wi-Fi, Control táctil y por app/voz, Requiere neutro (generalmente);
Cámara de Seguridad Inteligente Interior;HOG-CAM-001;220000;1080p, Rotación PTZ (Pan/Tilt/Zoom), Detección de movimiento, Visión nocturna, Audio bidireccional;
Termostato Inteligente;HOG-TER-001;450000;Programable, Wi-Fi, Control por app, Ahorro de energía (verificar compatibilidad);
Cerradura Inteligente;HOG-CER-001;700000;Acceso por huella, código, app móvil, llave física, Registros de acceso;
Router Wi-Fi 6;RED-ROU-001;450000;AX3000 (Doble banda), Tecnología OFDMA y MU-MIMO, Mayor cobertura y velocidad;
Extensor de Rango Wi-Fi;RED-EXT-002;150000;Doble banda AC1200, Puerto Ethernet, Fácil configuración WPS;
Switch Gigabit;RED-SWI-001;120000;8 puertos RJ45 10/100/1000 Mbps, Carcasa metálica o plástica, No gestionable;
Adaptador USB Wi-Fi;RED-ADP-001;60000;Doble banda AC600 o superior, USB 3.0, Antena externa para mejor recepción;
Cable Ethernet Cat 6;RED-CAB-001;25000;5 metros, Conectores RJ45, Para conexiones de alta velocidad;
Licencia Windows 11 Pro;SOF-WIN-001;550000;Versión profesional del sistema operativo de Microsoft, Para un PC;
Microsoft Office 365 Personal;SOF-OFF-001;220000;Suscripción anual, Incluye Word, Excel, PowerPoint, Outlook, OneDrive 1TB;
Antivirus (Suscripción anual);SOF-ANT-002;90000;Protección para 1 dispositivo (PC/Mac/Móvil), Antimalware, Firewall;
Tarjeta Regalo Steam;SOF-TGGS-001;50000;Saldo de 50.000 COP para comprar juegos y contenido en la plataforma Steam;
Tarjeta Regalo PlayStation Network;SOF-TGGP-002;80000;Saldo de 20 USD (o equivalente en COP) para la tienda PlayStation;
